SNR,SNAME,SART,REGBEZ,KRSREST,REGBEZL,ABKZ,MBBEZ,MBABKZ,KRSL,KRSTYP
0709,Staatliche Realschule Ergolding,Realschule,2,274,Niederbayern,ndb,MB für die Realschulen in Niederbayern Staatliche Realschule Landshut,MB RS Ndb,LK Landshut,Landkreis
0710,Städtische Artur-Kutscher-Realschule München,Realschule,1,162,Oberbayern,obb,MB für die Realschulen in München Marieluise-Fleißer-Realschule Staatl. Realschule München III,MB RS Obb-M,Stadt München,Stadtkreis
0711,Städtische Wilhelm-Röntgen-Realschule München,Realschule,1,162,Oberbayern,obb,MB für die Realschulen in München Marieluise-Fleißer-Realschule Staatl. Realschule München III,MB RS Obb-M,Stadt München,Stadtkreis
0712,Senefelder-Schule Treuchtlingen - Realschule,Realschule,5,577,Mittelfranken,mfr,MB für die Realschulen in Mittelfranken Staatliche Realschule Nürnberg,MB RS Mfr,LK Weißenburg-Gunzenhausen,Landkreis
0713,Staatl. Realschule Berching,Realschule,3,373,Oberpfalz,opf,MB für die Realschulen in der Oberpfalz Staatliche Realschule Regensburg II,MB RS Opf,LK Neumarkt i.d. OPf.,Landkreis
0714,Private staatl. anerkannte Lukas-Realschule der Lukas-Schulen gGmbH München,Realschule,1,162,Oberbayern,obb,MB für die Realschulen in München Marieluise-Fleißer-Realschule Staatl. Realschule München III,MB RS Obb-M,Stadt München,Stadtkreis
0715,"Samuel-Heinicke-Schule, Priv. Realschule zur sonderpäd. Förd., Förderschwerpunkt Hören, München",Realschule z. sp. F.,1,162,Oberbayern,obb,MB für die Realschulen in München Marieluise-Fleißer-Realschule Staatl. Realschule München III,MB RS Obb-M,Stadt München,Stadtkreis
0716,Staatl. Realschule Geisenfeld,Realschule,1,186,Oberbayern,obb,MB für die Realschulen in Oberbayern-West Staatliche Realschule Fürstenfeldbruck,MB RS Obb-W,LK Pfaffenhofen a.d. Ilm,Landkreis
0717,Lena-Christ-Realschule Staatl. Realschule Markt Schwaben,Realschule,1,175,Oberbayern,obb,MB für die Realschulen in Oberbayern-Ost Staatliche Realschule Wasserburg,MB RS Obb-O,LK Ebersberg,Landkreis
0718,Staatliche Realschule Zirndorf,Realschule,5,573,Mittelfranken,mfr,MB für die Realschulen in Mittelfranken Staatliche Realschule Nürnberg,MB RS Mfr,LK Fürth,Landkreis
0719,Rupert-Ness-Realschule Ottobeuren,Realschule,7,778,Schwaben,sch,MB für die Realschulen in Schwaben Staatliche Realschule Augsburg I,MB RS Schw,LK Unterallgäu,Landkreis
0720,Staatliche Realschule Scheßlitz,Realschule,4,471,Oberfranken,ofr,MB für die Realschulen in Oberfranken Staatliche Realschule Bayreuth II,MB RS Ofr,LK Bamberg,Landkreis
0721,Staatliche Realschule Neubiberg,Realschule,1,184,Oberbayern,obb,MB für die Realschulen in München Marieluise-Fleißer-Realschule Staatl. Realschule München III,MB RS Obb-M,LK München,Landkreis
0722,Staatliche Realschule Taufkirchen (Vils),Realschule,1,177,Oberbayern,obb,MB für die Realschulen in Oberbayern-Ost Staatliche Realschule Wasserburg,MB RS Obb-O,LK Erding,Landkreis
0723,Orlando-di-Lasso-Realschule Staatl. Realschule Maisach,Realschule,1,179,Oberbayern,obb,MB für die Realschulen in Oberbayern-West Staatliche Realschule Fürstenfeldbruck,MB RS Obb-W,LK Fürstenfeldbruck,Landkreis
0724,Georg-Ludwig-Rexroth-Realschule Staatliche Realschule Lohr,Realschule,6,677,Unterfranken,ufr,MB für die Realschulen in Unterfranken Staatliche Realschule Würzburg I,MB RS Ufr,LK Main-Spessart,Landkreis
0725,"Anton-Fugger-Realschule, Staatliche Realschule Babenhausen",Realschule,7,778,Schwaben,sch,MB für die Realschulen in Schwaben Staatliche Realschule Augsburg I,MB RS Schw,LK Unterallgäu,Landkreis
0726,Staatliche Realschule Zwiesel,Realschule,2,276,Niederbayern,ndb,MB für die Realschulen in Niederbayern Staatliche Realschule Landshut,MB RS Ndb,LK Regen,Landkreis
0727,Johann-Steingruber-Schule Staatliche Realschule Ansbach,Realschule,5,561,Mittelfranken,mfr,MB für die Realschulen in Mittelfranken Staatliche Realschule Nürnberg,MB RS Mfr,Stadt Ansbach,Stadtkreis
0728,Michael-Ignaz-Schmidt-Schule Staatliche Realschule Arnstein,Realschule,6,677,Unterfranken,ufr,MB für die Realschulen in Unterfranken Staatliche Realschule Würzburg I,MB RS Ufr,LK Main-Spessart,Landkreis
0729,Leopold-Sonnemann-Realschule Staatliche Realschule Höchberg,Realschule,6,679,Unterfranken,ufr,MB für die Realschulen in Unterfranken Staatliche Realschule Würzburg I,MB RS Ufr,LK Würzburg,Landkreis
0730,Staatliche Realschule Mering,Realschule,7,771,Schwaben,sch,MB für die Realschulen in Schwaben Staatliche Realschule Augsburg I,MB RS Schw,LK Aichach-Friedberg,Landkreis
0731,Staatliche Realschule Obergünzburg,Realschule,7,777,Schwaben,sch,MB für die Realschulen in Schwaben Staatliche Realschule Augsburg I,MB RS Schw,LK Ostallgäu,Landkreis
0732,Franz-von-Lenbach-Schule Staatliche Realschule für Knaben Schrobenhausen,Realschule,1,185,Oberbayern,obb,MB für die Realschulen in Oberbayern-West Staatliche Realschule Fürstenfeldbruck,MB RS Obb-W,LK Neuburg-Schrobenhausen,Landkreis
0733,Sophie-Scholl-Realschule Staatl. Realschule für Mädchen Weiden,Realschule,3,363,Oberpfalz,opf,MB für die Realschulen in der Oberpfalz Staatliche Realschule Regensburg II,MB RS Opf,Stadt Weiden i.d. OPf.,Stadtkreis
0734,"Edith-Stein-Schule, st.anerk.Realschule z. sonderpäd. Förd., Förderschwerpunkt Sehen",Realschule z. sp. F.,1,184,Oberbayern,obb,MB für die Realschulen in München Marieluise-Fleißer-Realschule Staatl. Realschule München III,MB RS Obb-M,LK München,Landkreis
0735,Städtische Werner-von-Siemens- Realschule München,Realschule,1,162,Oberbayern,obb,MB für die Realschulen in München Marieluise-Fleißer-Realschule Staatl. Realschule München III,MB RS Obb-M,Stadt München,Stadtkreis
0736,Franz-Xaver-von-Schönwerth- Realschule Staatliche Realschule Amberg,Realschule,3,361,Oberpfalz,opf,MB für die Realschulen in der Oberpfalz Staatliche Realschule Regensburg II,MB RS Opf,Stadt Amberg,Stadtkreis
0737,Joseph-von-Fraunhofer-Schule Staatl. Realschule München II,Realschule,1,162,Oberbayern,obb,MB für die Realschulen in München Marieluise-Fleißer-Realschule Staatl. Realschule München III,MB RS Obb-M,Stadt München,Stadtkreis
0738,Staatliche Realschule Simbach a.Inn,Realschule,2,277,Niederbayern,ndb,MB für die Realschulen in Niederbayern Staatliche Realschule Landshut,MB RS Ndb,LK Rottal-Inn,Landkreis
0739,Walter-Klingenbeck-Schule Staatliche Realschule Taufkirchen,Realschule,1,184,Oberbayern,obb,MB für die Realschulen in München Marieluise-Fleißer-Realschule Staatl. Realschule München III,MB RS Obb-M,LK München,Landkreis
0740,Staatliche Realschule Unterpfaffenhofen in Germering,Realschule,1,179,Oberbayern,obb,MB für die Realschulen in Oberbayern-West Staatliche Realschule Fürstenfeldbruck,MB RS Obb-W,LK Fürstenfeldbruck,Landkreis
0741,Private Isar-Realschule München,Realschule,1,162,Oberbayern,obb,MB für die Realschulen in München Marieluise-Fleißer-Realschule Staatl. Realschule München III,MB RS Obb-M,Stadt München,Stadtkreis
0742,Adolf-Reichwein-Schule Nürnberg -Private Realschule-,Realschule,5,564,Mittelfranken,mfr,MB für die Realschulen in Mittelfranken Staatliche Realschule Nürnberg,MB RS Mfr,Stadt Nürnberg,Stadtkreis
0743,Staatliche Realschule Hösbach,Realschule,6,671,Unterfranken,ufr,MB für die Realschulen in Unterfranken Staatliche Realschule Würzburg I,MB RS Ufr,LK Aschaffenburg,Landkreis
0744,Ludwig-Fronhofer-Schule Staatl. Realschule Ingolstadt II,Realschule,1,161,Oberbayern,obb,MB für die Realschulen in Oberbayern-West Staatliche Realschule Fürstenfeldbruck,MB RS Obb-W,Stadt Ingolstadt,Stadtkreis
0745,Siegmund-Loewe-Schule Staatliche Realschule Kronach II,Realschule,4,476,Oberfranken,ofr,MB für die Realschulen in Oberfranken Staatliche Realschule Bayreuth II,MB RS Ofr,LK Kronach,Landkreis
0746,"Johann-Pachelbel-Realschule, Staatl. Realschule Nürnberg III",Realschule,5,564,Mittelfranken,mfr,MB für die Realschulen in Mittelfranken Staatliche Realschule Nürnberg,MB RS Mfr,Stadt Nürnberg,Stadtkreis
0747,Staatliche Realschule Peißenberg,Realschule,1,190,Oberbayern,obb,MB für die Realschulen in Oberbayern-West Staatliche Realschule Fürstenfeldbruck,MB RS Obb-W,LK Weilheim-Schongau,Landkreis
0748,CJD Christophorusschule Berchtesgaden Staatl. anerk. Realschule in Schönau,Realschule,1,172,Oberbayern,obb,MB für die Realschulen in Oberbayern-Ost Staatliche Realschule Wasserburg,MB RS Obb-O,LK Berchtesgadener Land,Landkreis
0749,Kommunale Realschule Prien am Chiemsee,Realschule,1,187,Oberbayern,obb,MB für die Realschulen in Oberbayern-Ost Staatliche Realschule Wasserburg,MB RS Obb-O,LK Rosenheim,Landkreis
0750,Städtische Realschule an der Blutenburg München,Realschule,1,162,Oberbayern,obb,MB für die Realschulen in München Marieluise-Fleißer-Realschule Staatl. Realschule München III,MB RS Obb-M,Stadt München,Stadtkreis
0751,Bayerische Landesschule für Blinde München (Grund- und Hauptschulstufe),Förderzentrum,1,162,Oberbayern,obb,NA,NA,Stadt München,Stadtkreis
0752,"Bayerische Landesschule für Gehörlose, Förderzentrum, Förderschwerpunkt Hören, München",Förderzentrum,1,162,Oberbayern,obb,NA,NA,Stadt München,Stadtkreis
0753,"Bayerische Landesschule f.Körperbehinderte München Förderzentr., Förderschwerp.körperl.u.mot.Entw.",Förderzentrum,1,162,Oberbayern,obb,NA,NA,Stadt München,Stadtkreis
0754,Staatlich anerkannte Sabel Realschule München I der Stiftung Sabel Schulen,Realschule,1,162,Oberbayern,obb,MB für die Realschulen in München Marieluise-Fleißer-Realschule Staatl. Realschule München III,MB RS Obb-M,Stadt München,Stadtkreis
0755,Dientzenhofer-Schule Staatliche Realschule Brannenburg,Realschule,1,187,Oberbayern,obb,MB für die Realschulen in Oberbayern-Ost Staatliche Realschule Wasserburg,MB RS Obb-O,LK Rosenheim,Landkreis
0756,Therese-Giehse-Realschule Staatl. Realschule Unterschleißheim,Realschule,1,184,Oberbayern,obb,MB für die Realschulen in München Marieluise-Fleißer-Realschule Staatl. Realschule München III,MB RS Obb-M,LK München,Landkreis
0757,Nymphenburger Realschule München des Schulvereins Ernst Adam e.V.,Realschule,1,162,Oberbayern,obb,MB für die Realschulen in München Marieluise-Fleißer-Realschule Staatl. Realschule München III,MB RS Obb-M,Stadt München,Stadtkreis
0758,Johann-Andreas-Schmeller-Realschule Staatliche Realschule Ismaning,Realschule,1,184,Oberbayern,obb,MB für die Realschulen in München Marieluise-Fleißer-Realschule Staatl. Realschule München III,MB RS Obb-M,LK München,Landkreis
0759,Leonhard-Wagner-Realschule Staatl. Realschule Schwabmünchen,Realschule,7,772,Schwaben,sch,MB für die Realschulen in Schwaben Staatliche Realschule Augsburg I,MB RS Schw,LK Augsburg,Landkreis
0760,Städtische Erich Kästner-Realschule München,Realschule,1,162,Oberbayern,obb,MB für die Realschulen in München Marieluise-Fleißer-Realschule Staatl. Realschule München III,MB RS Obb-M,Stadt München,Stadtkreis
0761,Bayer. Landesschule für Blinde München (Sonderschule) - Realschule -,Realschule z. sp. F.,1,162,Oberbayern,obb,NA,NA,Stadt München,Stadtkreis
0762,"Bayer.Landesschule f.Gehörlose München, Realschule zur sonderpäd. Förderung, Förderschwerpunkt Hören",Realschule z. sp. F.,1,162,Oberbayern,obb,NA,NA,Stadt München,Stadtkreis
0763,Priv. Realschule Huber in München,Realschule,1,162,Oberbayern,obb,MB für die Realschulen in München Marieluise-Fleißer-Realschule Staatl. Realschule München III,MB RS Obb-M,Stadt München,Stadtkreis
0764,Achental-Realschule Staatl. Realschule Marquartstein,Realschule,1,189,Oberbayern,obb,MB für die Realschulen in Oberbayern-Ost Staatliche Realschule Wasserburg,MB RS Obb-O,LK Traunstein,Landkreis
0765,Staatliche Realschule Vaterstetten in Baldham,Realschule,1,175,Oberbayern,obb,MB für die Realschulen in Oberbayern-Ost Staatliche Realschule Wasserburg,MB RS Obb-O,LK Ebersberg,Landkreis
0766,Zugspitz-Realschule Staatl. Realschule für Knaben Garmisch-Partenkirchen,Realschule,1,180,Oberbayern,obb,MB für die Realschulen in Oberbayern-West Staatliche Realschule Fürstenfeldbruck,MB RS Obb-W,LK Garmisch-Partenkirchen,Landkreis
0767,Staatliche Realschule Neusäß,Realschule,7,772,Schwaben,sch,MB für die Realschulen in Schwaben Staatliche Realschule Augsburg I,MB RS Schw,LK Augsburg,Landkreis
0768,Staatliche Realschule Puchheim,Realschule,1,179,Oberbayern,obb,MB für die Realschulen in Oberbayern-West Staatliche Realschule Fürstenfeldbruck,MB RS Obb-W,LK Fürstenfeldbruck,Landkreis
0769,Städtische Wilhelm-Busch- Realschule München,Realschule,1,162,Oberbayern,obb,MB für die Realschulen in München Marieluise-Fleißer-Realschule Staatl. Realschule München III,MB RS Obb-M,Stadt München,Stadtkreis
0770,"Landschulheim Elkofen, Realschule zur sonderpäd. Förderung Grafing Förderschwerp. emot.u.soz.Entw.",Realschule z. sp. F.,1,175,Oberbayern,obb,NA,NA,LK Ebersberg,Landkreis
0771,Mindeltal-Realschule Jettingen-Scheppach der Mindeltal-Schulen gGmbH,Realschule,7,774,Schwaben,sch,MB für die Realschulen in Schwaben Staatliche Realschule Augsburg I,MB RS Schw,LK Günzburg,Landkreis
0772,Städtische Bertolt-Brecht-Schule Nürnberg - Realschule -,Realschule,5,564,Mittelfranken,mfr,MB für die Realschulen in Mittelfranken Staatliche Realschule Nürnberg,MB RS Mfr,Stadt Nürnberg,Stadtkreis
0773,Staatlich anerkannte Sabel Realschule Nürnberg I der Sabel Schulen Nürnberg gGmbH,Realschule,5,564,Mittelfranken,mfr,MB für die Realschulen in Mittelfranken Staatliche Realschule Nürnberg,MB RS Mfr,Stadt Nürnberg,Stadtkreis
0774,Private staatlich genehmigte neuhof neo Realschule München der neuhof Bildungswerk gGmbH,Realschule,1,162,Oberbayern,obb,MB für die Realschulen in München Marieluise-Fleißer-Realschule Staatl. Realschule München III,MB RS Obb-M,Stadt München,Stadtkreis
0775,Geschwister-Scholl-Realschule Staatl. Realschule Nürnberg II,Realschule,5,564,Mittelfranken,mfr,MB für die Realschulen in Mittelfranken Staatliche Realschule Nürnberg,MB RS Mfr,Stadt Nürnberg,Stadtkreis
0776,Staatl. Realschule Zusmarshausen,Realschule,7,772,Schwaben,sch,MB für die Realschulen in Schwaben Staatliche Realschule Augsburg I,MB RS Schw,LK Augsburg,Landkreis
0777,Coelestin-Maier-Realschule Schweiklberg in Vilshofen,Realschule,2,275,Niederbayern,ndb,MB für die Realschulen in Niederbayern Staatliche Realschule Landshut,MB RS Ndb,LK Passau,Landkreis
0778,Staatl. Realschule Höchstadt a.d.Aisch,Realschule,5,572,Mittelfranken,mfr,MB für die Realschulen in Mittelfranken Staatliche Realschule Nürnberg,MB RS Mfr,LK Erlangen-Höchstadt,Landkreis
0779,Staatl. Realschule Kösching,Realschule,1,176,Oberbayern,obb,MB für die Realschulen in Oberbayern-West Staatliche Realschule Fürstenfeldbruck,MB RS Obb-W,LK Eichstätt,Landkreis
0780,Priv. staatl. genehmigte Realschule begemann München,Realschule,1,162,Oberbayern,obb,MB für die Realschulen in Oberbayern-West Staatliche Realschule Fürstenfeldbruck,MB RS Obb-W,Stadt München,Stadtkreis
0781,Staatl. Berufsoberschule Erding,Berufsoberschule,1,177,Oberbayern,obb,NA,MB FOS/BOS Ost,LK Erding,Landkreis
0782,Staatl. Berufsoberschule Fürstenfeldbruck,Berufsoberschule,1,179,Oberbayern,obb,NA,NA,LK Fürstenfeldbruck,Landkreis
0783,"Therese-von-Bayern-Schule,staatl. Berufsoberschule für Wirtschaft München",Berufsoberschule,1,162,Oberbayern,obb,NA,MB FOS/BOS Süd,Stadt München,Stadtkreis
0784,Staatl. Berufsoberschule Kelheim,Berufsoberschule,2,273,Niederbayern,ndb,NA,MB FOS/BOS Ost,LK Kelheim,Landkreis
0785,Staatl. Berufsoberschule Krumbach,Berufsoberschule,7,774,Schwaben,sch,NA,NA,LK Günzburg,Landkreis
0786,Staatliche Berufsoberschule Obernburg a.Main,Berufsoberschule,6,676,Unterfranken,ufr,NA,MB FOS/BOS Nord,LK Miltenberg,Landkreis
0787,Staatliche Berufsoberschule Pfarrkirchen,Berufsoberschule,2,277,Niederbayern,ndb,NA,MB FOS/BOS Ost,LK Rottal-Inn,Landkreis
0788,Staatl. Berufsoberschule Landsberg a.Lech,Berufsoberschule,1,181,Oberbayern,obb,NA,NA,LK Landsberg am Lech,Landkreis
0789,Städtische Berufsoberschule Schwabach,Berufsoberschule,5,565,Mittelfranken,mfr,NA,MB FOS/BOS Nord,Stadt Schwabach,Stadtkreis
0790,Staatliche Berufsoberschule Ingolstadt,Berufsoberschule,1,161,Oberbayern,obb,NA,MB FOS/BOS Ost,Stadt Ingolstadt,Stadtkreis
0791,Staatliche Berufsoberschule Landshut,Berufsoberschule,2,261,Niederbayern,ndb,NA,MB FOS/BOS Ost,Stadt Landshut,Stadtkreis
0792,Staatliche Berufsoberschule für Technik München,Berufsoberschule,1,162,Oberbayern,obb,NA,MB FOS/BOS Süd,Stadt München,Stadtkreis
0793,Städtische Berufsoberschule für Technik Nürnberg,Berufsoberschule,5,564,Mittelfranken,mfr,NA,MB FOS/BOS Nord,Stadt Nürnberg,Stadtkreis
0794,Staatliche Berufsoberschule Passau,Berufsoberschule,2,262,Niederbayern,ndb,NA,MB FOS/BOS Ost,Stadt Passau,Stadtkreis
0795,Staatliche Berufsoberschule Regensburg,Berufsoberschule,3,362,Oberpfalz,opf,NA,MB FOS/BOS Ost,Stadt Regensburg,Stadtkreis
0796,Staatliche Berufsoberschule Triesdorf in Weidenbach,Berufsoberschule,5,571,Mittelfranken,mfr,NA,MB FOS/BOS Nord,LK Ansbach,Landkreis
0797,Staatl. Berufsoberschule Memmingen,Berufsoberschule,7,764,Schwaben,sch,NA,NA,Stadt Memmingen,Stadtkreis
0798,Staatliche Berufsoberschule Wasserburg a.Inn,Berufsoberschule,1,187,Oberbayern,obb,NA,MB FOS/BOS Süd,LK Rosenheim,Landkreis
0799,Franz-Oberthür-Schule Würzburg Städt. Berufsbildungszentrum I Unterabt. Berufsoberschule,Berufsoberschule,6,663,Unterfranken,ufr,NA,MB FOS/BOS Nord,Stadt Würzburg,Stadtkreis
0800,Staatliche Berufsoberschule Bad Neustadt a.d.Saale,Berufsoberschule,6,673,Unterfranken,ufr,NA,MB FOS/BOS Nord,LK Rhön-Grabfeld,Landkreis
0801,Städt.Marian-Batko-Berufsoberschule München Ausbildungsrichtung Technik,Berufsoberschule,1,162,Oberbayern,obb,NA,NA,Stadt München,Stadtkreis
0802,Staatliche Berufsoberschule Amberg,Berufsoberschule,3,361,Oberpfalz,opf,NA,MB FOS/BOS Ost,Stadt Amberg,Stadtkreis
0803,Staatliche Berufsoberschule Ansbach,Berufsoberschule,5,561,Mittelfranken,mfr,NA,MB FOS/BOS Nord,Stadt Ansbach,Stadtkreis
0804,Staatliche Berufsoberschule Aschaffenburg,Berufsoberschule,6,661,Unterfranken,ufr,NA,MB FOS/BOS Nord,Stadt Aschaffenburg,Stadtkreis
0805,Städtische Nelson-Mandela-Berufsoberschule Wirtschaft in München,Berufsoberschule,1,162,Oberbayern,obb,NA,MB FOS/BOS Süd,Stadt München,Stadtkreis
0806,Städtische Anita-Augspurg-Berufsoberschule für Sozialwesen und Gesundheit München,Berufsoberschule,1,162,Oberbayern,obb,NA,MB FOS/BOS Süd,Stadt München,Stadtkreis
0807,Staatliche Berufsoberschule Lindau (Bodensee),Berufsoberschule,7,776,Schwaben,sch,NA,NA,LK Lindau (Bodensee),Landkreis
0808,Staatliche Berufsoberschule Bamberg,Berufsoberschule,4,461,Oberfranken,ofr,NA,MB FOS/BOS Nord,Stadt Bamberg,Stadtkreis
0809,Berufsoberschule für Sozialwesen und Gesundheit,Berufsoberschule,5,564,Mittelfranken,mfr,NA,MB FOS/BOS Nord,Stadt Nürnberg,Stadtkreis
0810,Priv. Berufsoberschule der Gemeinn. Gesellschaft Dr. Kalscheuer mbH in Traunstein,Berufsoberschule,1,189,Oberbayern,obb,NA,MB FOS/BOS Ost,LK Traunstein,Landkreis
0811,Priv. Berufsoberschule der Gemeinn. Gesellschaft Privatschulen Dr. Kalscheuer mbH in Rosenheim,Berufsoberschule,1,163,Oberbayern,obb,NA,MB FOS/BOS Ost,Stadt Rosenheim,Stadtkreis
0812,Private Berufsoberschule des Mesale e.V. in Nürnberg,Berufsoberschule,5,564,Mittelfranken,mfr,NA,MB FOS/BOS Nord,Stadt Nürnberg,Stadtkreis
0813,Hans-Leipelt-Schule Staatliche Berufsoberschule Donauwörth,Berufsoberschule,7,779,Schwaben,sch,NA,NA,LK Donau-Ries,Landkreis
0814,Staatliche Berufsoberschule Regen,Berufsoberschule,2,276,Niederbayern,ndb,NA,MB FOS/BOS Ost,LK Regen,Landkreis
0815,Staatl. Berufsoberschule Marktredwitz,Berufsoberschule,4,479,Oberfranken,ofr,NA,MB FOS/BOS Nord,LK Wunsiedel i. Fichtelgebirge,Landkreis
0816,Staatl. Berufsoberschule Friedberg,Berufsoberschule,7,771,Schwaben,sch,NA,NA,LK Aichach-Friedberg,Landkreis
0817,Städtische Berufsoberschule Augsburg,Berufsoberschule,7,761,Schwaben,sch,NA,NA,Stadt Augsburg,Stadtkreis
0818,Staatl. Berufsoberschule Waldkirchen,Berufsoberschule,2,272,Niederbayern,ndb,NA,MB FOS/BOS Ost,LK Freyung-Grafenau,Landkreis
0819,Staatl. Berufsoberschule Neusäß,Berufsoberschule,7,772,Schwaben,sch,NA,NA,LK Augsburg,Landkreis
0820,Staatliche Berufsoberschule Kaufbeuren,Berufsoberschule,7,762,Schwaben,sch,NA,NA,Stadt Kaufbeuren,Stadtkreis
0821,Staatliche Berufsoberschule Bad Tölz,Berufsoberschule,1,173,Oberbayern,obb,NA,NA,LK Bad Tölz-Wolfratshausen,Landkreis
0822,Staatliche Berufsoberschule Cham,Berufsoberschule,3,372,Oberpfalz,opf,NA,MB FOS/BOS Ost,LK Cham,Landkreis
0823,Regiomontanus-Schule Staatliche Berufsoberschule Coburg,Berufsoberschule,4,463,Oberfranken,ofr,NA,MB FOS/BOS Nord,Stadt Coburg,Stadtkreis
0824,Aloys-Fischer-Schule Staatliche Berufsoberschule Deggendorf,Berufsoberschule,2,271,Niederbayern,ndb,NA,MB FOS/BOS Ost,LK Deggendorf,Landkreis
0825,Städtische Berufsoberschule Regensburg Ausbildungsrichtung Wirtschaft,Berufsoberschule,3,362,Oberpfalz,opf,NA,MB FOS/BOS Ost,Stadt Regensburg,Stadtkreis
0826,Staatl. Berufsoberschule Kitzingen,Berufsoberschule,6,675,Unterfranken,ufr,NA,MB FOS/BOS Nord,LK Kitzingen,Landkreis
0827,Staatliche Berufsoberschule Erlangen,Berufsoberschule,5,562,Mittelfranken,mfr,NA,MB FOS/BOS Nord,Stadt Erlangen,Stadtkreis
0828,Staatliche Berufsoberschule Freising,Berufsoberschule,1,178,Oberbayern,obb,NA,MB FOS/BOS Ost,LK Freising,Landkreis
0829,Max-Grundig-Schule Staatliche Berufsoberschule Fürth,Berufsoberschule,5,563,Mittelfranken,mfr,NA,MB FOS/BOS Nord,Stadt Fürth,Stadtkreis
0830,Staatliche Berufsoberschule Hof,Berufsoberschule,4,464,Oberfranken,ofr,NA,MB FOS/BOS Nord,Stadt Hof,Stadtkreis
0831,Staatliche Berufsoberschule Marktheidenfeld,Berufsoberschule,6,677,Unterfranken,ufr,NA,MB FOS/BOS Nord,LK Main-Spessart,Landkreis
0832,Maximilian-Kolbe-Schule Staatliche Berufsoberschule Neumarkt i.d.OPf.,Berufsoberschule,3,373,Oberpfalz,opf,NA,MB FOS/BOS Ost,LK Neumarkt i.d. OPf.,Landkreis
0833,Staatliche Berufsoberschule Neu-Ulm,Berufsoberschule,7,775,Schwaben,sch,NA,NA,LK Neu-Ulm,Landkreis
0834,Staatliche Berufsoberschule Straubing,Berufsoberschule,2,263,Niederbayern,ndb,NA,MB FOS/BOS Ost,Stadt Straubing,Stadtkreis
0835,Staatliche Berufsoberschule Landshut-Schönbrunn,Berufsoberschule,2,261,Niederbayern,ndb,NA,MB FOS/BOS Ost,Stadt Landshut,Stadtkreis
0836,Staatliche Berufsoberschule Miesbach,Berufsoberschule,1,182,Oberbayern,obb,NA,MB FOS/BOS Süd,LK Miesbach,Landkreis
0837,Staatliche Berufsoberschule Nürnberg,Berufsoberschule,5,564,Mittelfranken,mfr,NA,MB FOS/BOS Nord,Stadt Nürnberg,Stadtkreis
0838,Staatliche Berufsoberschule Scheyern,Berufsoberschule,1,186,Oberbayern,obb,NA,MB FOS/BOS Ost,LK Pfaffenhofen a.d. Ilm,Landkreis
0839,Staatliche Berufsoberschule Altötting,Berufsoberschule,1,171,Oberbayern,obb,NA,MB FOS/BOS Süd,LK Altötting,Landkreis
0840,Staatliche Berufsoberschule Rosenheim,Berufsoberschule,1,163,Oberbayern,obb,NA,MB FOS/BOS Süd,Stadt Rosenheim,Stadtkreis
0841,Staatliche Berufsoberschule Kempten (Allgäu),Berufsoberschule,7,763,Schwaben,sch,NA,NA,Stadt Kempten (Allgäu),Stadtkreis
0842,Staatliche Berufsoberschule Schwandorf,Berufsoberschule,3,376,Oberpfalz,opf,NA,MB FOS/BOS Ost,LK Schwandorf,Landkreis
0843,Friedrich-Fischer-Schule Staatl.Berufsoberschule Schweinfurt,Berufsoberschule,6,662,Unterfranken,ufr,NA,MB FOS/BOS Nord,Stadt Schweinfurt,Stadtkreis
0844,Staatliche Berufsoberschule Traunstein,Berufsoberschule,1,189,Oberbayern,obb,NA,MB FOS/BOS Süd,LK Traunstein,Landkreis
0845,Staatliche Berufsoberschule Augsburg,Berufsoberschule,7,761,Schwaben,sch,NA,NA,Stadt Augsburg,Stadtkreis
0846,Gustav-von-Schlör-Schule Staatliche Berufsoberschule Weiden i.d.OPf.,Berufsoberschule,3,363,Oberpfalz,opf,NA,MB FOS/BOS Ost,Stadt Weiden i.d. OPf.,Stadtkreis
0847,Staatliche Berufsoberschule Weilheim i.OB,Berufsoberschule,1,190,Oberbayern,obb,NA,NA,LK Weilheim-Schongau,Landkreis
0848,Staatliche Berufsoberschule Weißenburg i.Bay.,Berufsoberschule,5,577,Mittelfranken,mfr,NA,MB FOS/BOS Nord,LK Weißenburg-Gunzenhausen,Landkreis
0849,Staatliche Berufsoberschule Bayreuth,Berufsoberschule,4,462,Oberfranken,ofr,NA,MB FOS/BOS Nord,Stadt Bayreuth,Stadtkreis
0850,Adalbert-Raps-Schule Staatliche Berufsoberschule Kulmbach,Berufsoberschule,4,477,Oberfranken,ofr,NA,MB FOS/BOS Nord,LK Kulmbach,Landkreis
0851,Staatl. Fachoberschule Altötting,Fachoberschule,1,171,Oberbayern,obb,NA,MB FOS/BOS Süd,LK Altötting,Landkreis
0852,Staatliche Fachoberschule Amberg,Fachoberschule,3,361,Oberpfalz,opf,NA,MB FOS/BOS Ost,Stadt Amberg,Stadtkreis
0853,Staatliche Fachoberschule Ansbach,Fachoberschule,5,561,Mittelfranken,mfr,NA,MB FOS/BOS Nord,Stadt Ansbach,Stadtkreis
0854,Staatliche Fachoberschule Aschaffenburg,Fachoberschule,6,661,Unterfranken,ufr,NA,MB FOS/BOS Nord,Stadt Aschaffenburg,Stadtkreis
