report,vars,plot,label,label_short,sets,type
rpt_sus_bq_p1,B325W265m,B32,"Wir reden im Unterricht darüber, welchen Einfluss digitale Medien auf die Welt und unser eigenes Leben haben.","Reden im Unterricht darüber, welchen Einfluss digitale Medien auf die Welt und unser eigenes Leben haben",set01,sus
rpt_all_bq_p5,A634,A63b,"Die Lehrkraft lässt sich von mir immer wieder mal erklären, wie ich zu einer Lösung gekommen bin.","Die Lehrkraft lässt sich von mir immer wieder mal erklären, wie ich zu einer Lösung gekommen bin.",set01,sus
rpt_all_fb_p1,B223d,B22,Insgesamt bin ich mit dem Angebot meiner Schule zur beruflichen Orientierung zufrieden.,Insgesamt bin ich mit dem Angebot meiner Schule zur beruflichen Orientierung zufrieden.,set01,sus
gm_p2,C132b,C13,Wir haben an unserer Schule ein gut gepflegtes Ablagesystem zur gemeinsamen Nutzung von Unterrichtsmaterialien.,Gut gepflegtes Ablagesystem zur gemeinsamen Nutzung von Unterrichtsmaterialien,set01,leh
rpt_all_fb_p1,C123,C12,"Die SL achtet konsequent darauf, dass Dinge, die einmal beschlossen sind, auch wirklich von allen eingehalten werden.","Die SL achtet konsequent darauf, dass Dinge, die einmal beschlossen sind, von allen eingehalten werden.",set01,leh
rpt_all_p1,C132b,C13,Wir haben an unserer Schule ein gut gepflegtes Ablagesystem zur gemeinsamen Nutzung von Unterrichtsmaterialien.,Gut gepflegtes Ablagesystem zur gemeinsamen Nutzung von Unterrichtsmaterialien,set01,leh
ms_p1,A634,A63b,"Die Lehrkraft lässt sich von mir immer wieder mal erklären, wie ich zu einer Lösung gekommen bin.","Die Lehrkraft lässt sich von mir immer wieder mal erklären, wie ich zu einer Lösung gekommen bin.",set01,sus
gm_p1,A634,A63b,"Meine Lehrerin/mein Lehrer lässt sich von mir immer wieder mal erklären, wie ich zu einer Lösung gekommen bin.","MS_Die Lehrkraft lässt sich von mir immer wieder mal erklären, wie ich zu einer Lösung gekommen bin.",set01,sus
rpt_all_p1,B223,B22,Unsere Schule zeichnet sich durch die besondere Unterstützung der Schülerinnen und Schüler bei der beruflichen Orientierung aus.,Die Schule zeichnet sich durch die besond. Unterstützung der SuS b. d. berufl. Orientierung aus.,set01,leh
rpt_leh_fb_p1,B131W124D,B13,NA,Die Lehrkräfte helfen sich und stehen stets füreinander ein.,set01,leh
rpt_leh_fb_p1,B131W124D,W12,NA,Die Lehrkräfte helfen sich und stehen stets füreinander ein.,set01,leh
rpt_leh_fz_p1,B131W124D,B13,Die Lehrkräfte helfen sich und stehen stets füreinander ein.,Die Lehrkräfte helfen sich und stehen stets füreinander ein.,set01,leh
rpt_leh_fz_p1,B131W124D,W12,NA,Die Lehrkräfte helfen sich und stehen stets füreinander ein.,set01,leh
rpt_sus_gm_p2,A131W121m,A13,"Meine Lehrerin/mein Lehrer bleibt geduldig, wenn sie mir etwas erklärt.","MS_Die Lehrkraft bleibt geduldig, wenn sie mir etwas erklärt.",set01,sus
rpt_all_p1,B221b,B22,An unserer Schule finden regelmäßig Veranstaltungen mit außerschulischen Fachleuten statt.,Es finden regelmäßig Veranstaltungen mit außerschulischen Fachleuten statt.,set01,leh
gs_p2,B131W124D,W12,NA,Die Lehrkräfte helfen sich und stehen stets füreinander ein.,set01,leh
rpt_all_p1,B221a,B22,Die Schülerinnen und Schüler lernen viele außerschulische Lebensbereiche kennen (z. B. durch Exkursionen).,SuS lernen viele außerschulische Lebensbereiche kennen.,set01,leh
rpt_all_fz_p2,B123,B12,An dieser Schule fühle ich mich jederzeit fair und gerecht behandelt.,An dieser Schule fühle ich mich jederzeit fair und gerecht behandelt.,set01,leh
rpt_leh_fz_p2,B131W124D,B13,Die Lehrkräfte helfen sich und stehen stets füreinander ein.,Die Lehrkräfte helfen sich und stehen stets füreinander ein.,set01,leh
rpt_all_p2,A123A,A12,Im Unterricht wird keine Zeit vertrödelt.,Im Unterricht wird keine Zeit vertrödelt.,set01,sus
gm_p3,A634,A63b,"MS_Die Lehrkraft lässt sich von mir immer wieder mal erklären, wie ich zu einer Lösung gekommen bin.","MS_Die Lehrkraft lässt sich von mir immer wieder mal erklären, wie ich zu einer Lösung gekommen bin.",set01,sus
rpt_all_p1,B212,B21,"Es gibt gute Gelegenheiten, meine besonderen Begabungen weiterzuentwickeln (z. B. über die Teilnahme an Wettbewerben).","Gute Gelegenheiten, besondere Begabungen weiterzuentwickeln",set01,sus
rpt_leh_fz_p2,B131W124D,W12,NA,Die Lehrkräfte helfen sich und stehen stets füreinander ein.,set01,leh
rpt_leh_gs_p1,B131W124D,B13,Die Lehrkräfte helfen sich und stehen stets füreinander ein.,Die Lehrkräfte helfen sich und stehen stets füreinander ein.,set01,leh
rpt_all_fb_p1,B212,B21,"Es gibt gute Gelegenheiten, meine besonderen Begabungen weiterzuentwickeln (z. B. über die Teilnahme an Wettbewerben).","Gute Gelegenheiten, besondere Begabungen weiterzuentwickeln",set01,sus
rpt_leh_gs_p1,B131W124D,W12,NA,Die Lehrkräfte helfen sich und stehen stets füreinander ein.,set01,leh
rpt_leh_gs_p2,B131W124D,B13,Die Lehrkräfte helfen sich und stehen stets füreinander ein.,Die Lehrkräfte helfen sich und stehen stets füreinander ein.,set01,leh
rpt_leh_gs_p2,B131W124D,W12,NA,Die Lehrkräfte helfen sich und stehen stets füreinander ein.,set01,leh
rpt_leh_p1,B131W124D,B13,Die Lehrkräfte helfen sich und stehen stets füreinander ein.,Die Lehrkräfte helfen sich und stehen stets füreinander ein.,set01,leh
gs_p4,A131W121,W12,NA,Die Lehrkraft erklärt im Unterricht alles geduldig.,set01,sus
rpt_all_bq_p1,A635W245,A63b,Die Berufsschule vermittelt den Auszubildenden grundlegende Kompetenzen im Umgang mit digitalen Medien (z. B. berufsrelevante Software).,Berufsschule vermittelt den Auszubildenden grundl. Kompetenzen i. Umgang mit digitalen Medien,set01,aus
rpt_leh_p1,B131W124D,W12,NA,Die Lehrkräfte helfen sich und stehen stets füreinander ein.,set01,leh
rpt_leh_p2,B131W124D,B13,Die Lehrkräfte helfen sich und stehen stets füreinander ein.,Die Lehrkräfte helfen sich und stehen stets füreinander ein.,set01,leh
rpt_all_fz_p2,B221a,B22,Die Schülerinnen und Schüler lernen viele außerschulische Lebensbereiche kennen (z. B. durch Exkursionen).,SuS lernen viele außerschulische Lebensbereiche kennen.,set01,leh
rpt_all_fb_p1,C124W222,C12,NA,An unserer Schule sind bereits viele Verwaltungsabläufe digitalisiert.,set01,leh
rpt_leh_p2,B131W124D,W12,NA,Die Lehrkräfte helfen sich und stehen stets füreinander ein.,set01,leh
rpt_all_bq_p5,A635W245,A63b,Die Berufsschule vermittelt den Auszubildenden grundlegende Kompetenzen im Umgang mit digitalen Medien (z. B. berufsrelevante Software).,Berufsschule vermittelt den Auszubildenden grundl. Kompetenzen i. Umgang mit digitalen Medien,set01,aus
rpt_all_fb_p1,A635W245a,A63b,Wir nutzen digitale Medien zur Suche von Informationen.,Wir nutzen digitale Medien zur Suche von Informationen.,set01,sus
gs_p4,A515W143b,W14,NA,Im Unterricht bekommen die einzelnen SuS oft verschiedene Aufgaben.,set01,leh
ms_p2,A123A,A12,Im Unterricht wird keine Zeit vertrödelt.,Im Unterricht wird keine Zeit vertrödelt.,set01,sus
rpt_all_fz_p2,A121,A12,"<span style=""font-size:28px;""><b><span style=""line-height:115%;""><span style=""font-family:Calibri, sans-serif;"">Wenn wir in der Klasse an Aufgaben arbeiten, dann machen alle gut mit.  </span></span></b></span>","GS_Wenn wir in der Klasse an Aufgaben arbeiten, dann machen alle gut mit.",set01,sus
gm_p1,A611,A61,"Meine Lehrerin/mein Lehrer erklärt uns, wie alte und neue Themen miteinander zusammenhängen.","MS_Die Lehrkraft erklärt uns, wie alte und neue Themen miteinander zusammenhängen.",set01,sus
rpt_sus_p2,A123B,A12,Es wird fast immer konzentriert gearbeitet.,Es wird fast immer konzentriert gearbeitet.,set01,sus
gm_p3,A611,A61,"MS_Die Lehrkraft erklärt uns, wie alte und neue Themen miteinander zusammenhängen.","MS_Die Lehrkraft erklärt uns, wie alte und neue Themen miteinander zusammenhängen.",set01,sus
gm_p2,A511W131,W13,NA,"Halte für Schülerin/Schüler regelmäßig fest, was er/sie schon kann und was noch nicht",set01,leh
rpt_sus_fz_p2,A133,A13,"<span style=""font-size:28px;""><b><span style=""line-height:115%;""><span style=""font-family:Calibri, sans-serif;"">Meine Klassenlehrerin oder mein Klassenlehrer ist fair und gerecht zu mir.</span></span></b></span>",GS_Die Lehrkraft ist fair und gerecht zu mir.,set01,sus
rpt_all_bq_p1,A635W245a,A63b,Wir nutzen digitale Medien zur Suche von Informationen.,Wir nutzen digitale Medien zur Suche von Informationen.,set01,sus
rpt_all_bq_p5,A635W245a,A63b,Wir nutzen digitale Medien zur Suche von Informationen.,Wir nutzen digitale Medien zur Suche von Informationen.,set01,sus
gm_p2,B221a,B22,Die Schülerinnen und Schüler lernen viele außerschulische Lebensbereiche kennen (z. B. durch Exkursionen).,SuS lernen viele außerschulische Lebensbereiche kennen.,set01,leh
rpt_all_p1,A511W131,W13,NA,"Halte für Schülerin/Schüler regelmäßig fest, was er/sie schon kann und was noch nicht",set01,leh
gm_p1,A635W245a,A63b,Wir nutzen digitale Medien zur Suche von Informationen.,MS_Wir nutzen digitale Medien zur Suche von Informationen.,set01,sus
rpt_elt_fz_p1,B112,B11,Über die Möglichkeiten der Mitsprache als Eltern (z. B. als Klassenelternsprecher/in oder Vertreter/in im Elternbeirat) sind wir gut informiert.,Über die Möglichkeiten der Mitsprache als Eltern sind wir gut informiert.,set01,elt
rpt_all_fb_p1,C124W222,W22,NA,An unserer Schule sind bereits viele Verwaltungsabläufe digitalisiert.,set01,leh
rpt_all_p2,A123B,A12,Es wird fast immer konzentriert gearbeitet.,Es wird fast immer konzentriert gearbeitet.,set01,sus
rpt_elt_bq_p1,B112e,B11,Über die Möglichkeiten der Mitsprache als Eltern (z. B. als Elternvertretung) sind wir gut informiert.,Über die Möglichkeiten der Mitsprache als Eltern sind wir gut informiert.,set01,elt
gs_p1,A527W246,W24,NA,Setze auch digital gestützte Formen der Leistungsüberprüfung ein,set01,leh
ms_p1,A611,A61,"Die Lehrkraft erklärt uns, wie alte und neue Themen miteinander zusammenhängen.","Die Lehrkraft erklärt uns, wie alte und neue Themen miteinander zusammenhängen.",set01,sus
ms_p2,A123B,A12,Es wird fast immer konzentriert gearbeitet.,Es wird fast immer konzentriert gearbeitet.,set01,sus
gm_p4,B221a,B22,Die Schülerinnen und Schüler lernen viele außerschulische Lebensbereiche kennen (z. B. durch Exkursionen).,SuS lernen viele außerschulische Lebensbereiche kennen.,set01,leh
rpt_sus_gm_p2,A133,A13,"<span style=""font-size:28px;""><b><span style=""line-height:115%;""><span style=""font-family:Calibri, sans-serif;"">Meine Klassenlehrerin oder mein Klassenlehrer ist fair und gerecht zu mir.</span></span></b></span>",GS_Die Lehrkraft ist fair und gerecht zu mir.,set01,sus
gm_p3,A635W245a,A63b,MS_Wir nutzen digitale Medien zur Suche von Informationen.,MS_Wir nutzen digitale Medien zur Suche von Informationen.,set01,sus
gs_p4,A515W143c,A51,"Leistungsstarken Schülerinnen und Schülern gebe ich Zusatzaufgaben, durch die sie wirklich gefordert werden.","Leistungsstarken SuS gebe ich Zusatzaufgaben, durch die sie wirklich gefordert werden.",set01,leh
rpt_leh_bq_p1,A526W255al,A52,Ich nutze digitale Möglichkeiten für den Austausch mit meinen Schülerinnen und Schülern.,Nutze digitale Möglichkeiten für den Austausch mit meinen SuS,set01,leh
rpt_aus_bq_p1,B131W124F,B13,"Ich habe den Eindruck, dass das Schulklima von gegenseitiger Wertschätzung geprägt ist.","Ich habe den Eindruck, dass das Schulklima von gegenseitiger Wertschätzung geprägt ist.",set01,aus
ms_p1,A635W245a,A63b,Wir nutzen digitale Medien zur Suche von Informationen.,Wir nutzen digitale Medien zur Suche von Informationen.,set01,sus
rpt_sus_gs_p2,A131W121,W12,NA,Die Lehrkraft erklärt im Unterricht alles geduldig.,set01,sus
rpt_leh_bq_p1,A526W255al,W25,NA,Nutze digitale Möglichkeiten für den Austausch mit meinen SuS,set01,leh
rpt_all_p2,A131W121,A13,"Die Lehrkraft bleibt geduldig, wenn sie mir etwas erklärt.","Die Lehrkraft bleibt geduldig, wenn sie mir etwas erklärt.",set01,sus
rpt_leh_bq_p1,A526W255b,A52,Ich nutze digitale Möglichkeiten für individualisierte Rückmeldungen an die Schülerinnen und Schüler.,Nutze digitale Möglichk. f. individualisierte Rückmeldungen an die SuS,set01,leh
rpt_all_p1,A641,A64,"Ich bekomme genug Zeit, um zu üben, bis ich es kann.","Ich bekomme genug Zeit, um zu üben, bis ich es kann.",set01,sus
rpt_aus_bq_p1,B131W124F,W12,NA,"Ich habe den Eindruck, dass das Schulklima von gegenseitiger Wertschätzung geprägt ist.",set01,aus
rpt_sus_fz_p1,A131W121,W12,NA,GS_Die Lehrkraft erklärt im Unterricht alles geduldig.,set01,sus
rpt_all_fb_p1,A641,A64,"Ich bekomme genug Zeit, um zu üben, bis ich es kann.","Ich bekomme genug Zeit, um zu üben, bis ich es kann.",set01,sus
rpt_all_p2,A131W121,W12,NA,"Die Lehrkraft bleibt geduldig, wenn sie mir etwas erklärt.",set01,sus
rpt_sus_gm_p1,A131W121,W12,NA,GS_Die Lehrkraft erklärt im Unterricht alles geduldig.,set01,sus
